N,itm,Date,u,v
1,1,2025-10-21 18:30:00,0.01,-0.06
2,2,2025-10-21 19:30:00,0.01,-0.05
3,3,2025-10-21 20:30:00,0.01,-0.05
4,4,2025-10-21 21:30:00,0.01,-0.05
5,5,2025-10-21 22:30:00,0.0,-0.05
6,6,2025-10-21 23:30:00,0.0,-0.05
7,7,2025-10-22 00:30:00,0.0,-0.06
8,8,2025-10-22 01:30:00,-0.0,-0.06
9,9,2025-10-22 02:30:00,-0.01,-0.06
10,10,2025-10-22 03:30:00,-0.01,-0.05
11,11,2025-10-22 04:30:00,-0.01,-0.04
12,12,2025-10-22 05:30:00,-0.01,-0.03
13,13,2025-10-22 06:30:00,-0.01,-0.02
14,14,2025-10-22 07:30:00,-0.01,-0.01
15,15,2025-10-22 08:30:00,-0.01,0.0
16,16,2025-10-22 09:30:00,-0.0,0.01
17,17,2025-10-22 10:30:00,0.0,0.01
18,18,2025-10-22 11:30:00,0.01,0.01
19,19,2025-10-22 12:30:00,0.01,0.01
20,20,2025-10-22 13:30:00,0.02,-0.01
21,21,2025-10-22 14:30:00,0.02,-0.02
22,22,2025-10-22 15:30:00,0.03,-0.03
23,23,2025-10-22 16:30:00,0.02,-0.05
24,24,2025-10-22 17:30:00,0.02,-0.05
25,25,2025-10-22 18:30:00,0.01,-0.04
26,26,2025-10-22 19:30:00,0.0,-0.03
27,27,2025-10-22 20:30:00,-0.0,-0.02
28,28,2025-10-22 21:30:00,-0.0,-0.0
29,29,2025-10-22 22:30:00,-0.0,0.01
30,30,2025-10-22 23:30:00,-0.0,0.01
31,31,2025-10-23 00:30:00,0.0,0.01
32,32,2025-10-23 01:30:00,-0.0,0.01
33,33,2025-10-23 02:30:00,-0.0,0.01
34,34,2025-10-23 03:30:00,-0.01,0.01
35,35,2025-10-23 04:30:00,-0.0,0.01
36,36,2025-10-23 05:30:00,0.0,0.01
37,37,2025-10-23 06:30:00,0.0,0.01
38,38,2025-10-23 07:30:00,0.0,0.01
39,39,2025-10-23 08:30:00,0.01,0.01
40,40,2025-10-23 09:30:00,0.0,0.01
41,41,2025-10-23 10:30:00,0.01,0.01
42,42,2025-10-23 11:30:00,0.01,0.01
43,43,2025-10-23 12:30:00,0.02,0.0
44,44,2025-10-23 13:30:00,0.02,-0.01
45,45,2025-10-23 14:30:00,0.03,-0.02
46,46,2025-10-23 15:30:00,0.03,-0.03
47,47,2025-10-23 16:30:00,0.03,-0.04
48,48,2025-10-23 17:30:00,0.02,-0.04
49,49,2025-10-23 18:30:00,0.02,-0.03
50,50,2025-10-23 19:30:00,0.01,-0.02
51,51,2025-10-23 20:30:00,-0.0,-0.01
52,52,2025-10-23 21:30:00,-0.0,0.0
53,53,2025-10-23 22:30:00,-0.0,0.01
54,54,2025-10-23 23:30:00,-0.01,0.01
55,55,2025-10-24 00:30:00,-0.01,0.01
56,56,2025-10-24 01:30:00,-0.01,0.01
57,57,2025-10-24 02:30:00,-0.01,0.01
58,58,2025-10-24 03:30:00,-0.02,0.02
59,59,2025-10-24 04:30:00,-0.02,0.03
60,60,2025-10-24 05:30:00,-0.02,0.04
61,61,2025-10-24 06:30:00,-0.02,0.05
62,62,2025-10-24 07:30:00,-0.02,0.05
63,63,2025-10-24 08:30:00,-0.02,0.06
64,64,2025-10-24 09:30:00,-0.01,0.06
65,65,2025-10-24 10:30:00,-0.01,0.06
66,66,2025-10-24 11:30:00,0.0,0.06
67,67,2025-10-24 12:30:00,0.01,0.05
68,68,2025-10-24 13:30:00,0.02,0.04
69,69,2025-10-24 14:30:00,0.02,0.02
70,70,2025-10-24 15:30:00,0.03,-0.0
71,71,2025-10-24 16:30:00,0.03,-0.03
72,72,2025-10-24 17:30:00,0.02,-0.04
73,73,2025-10-24 18:30:00,0.02,-0.06
74,74,2025-10-24 19:30:00,0.01,-0.06
75,75,2025-10-24 20:30:00,-0.0,-0.06
76,76,2025-10-24 21:30:00,-0.01,-0.06
77,77,2025-10-24 22:30:00,-0.01,-0.05
78,78,2025-10-24 23:30:00,-0.01,-0.05
79,79,2025-10-25 00:30:00,-0.02,-0.05
80,80,2025-10-25 01:30:00,-0.02,-0.05
81,81,2025-10-25 02:30:00,-0.01,-0.05
82,82,2025-10-25 03:30:00,-0.02,-0.04
83,83,2025-10-25 04:30:00,-0.02,-0.04
84,84,2025-10-25 05:30:00,-0.02,-0.04
85,85,2025-10-25 06:30:00,-0.02,-0.03
86,86,2025-10-25 07:30:00,-0.01,-0.03
87,87,2025-10-25 08:30:00,-0.01,-0.03
88,88,2025-10-25 09:30:00,-0.01,-0.03
89,89,2025-10-25 10:30:00,-0.01,-0.03
90,90,2025-10-25 11:30:00,-0.0,-0.04
91,91,2025-10-25 12:30:00,-0.0,-0.04
92,92,2025-10-25 13:30:00,0.0,-0.04
93,93,2025-10-25 14:30:00,0.01,-0.05
94,94,2025-10-25 15:30:00,0.02,-0.06
95,95,2025-10-25 16:30:00,0.03,-0.07
96,96,2025-10-25 17:30:00,0.03,-0.08
97,97,2025-10-25 18:30:00,0.03,-0.09
98,98,2025-10-25 19:30:00,0.02,-0.1
99,99,2025-10-25 20:30:00,0.02,-0.09
100,100,2025-10-25 21:30:00,0.01,-0.09
101,101,2025-10-25 22:30:00,0.01,-0.08
102,102,2025-10-25 23:30:00,0.01,-0.08
103,103,2025-10-26 00:30:00,0.0,-0.07
104,104,2025-10-26 01:30:00,0.0,-0.07
105,105,2025-10-26 02:30:00,-0.0,-0.06
106,106,2025-10-26 03:30:00,-0.0,-0.06
107,107,2025-10-26 04:30:00,-0.01,-0.05
108,108,2025-10-26 05:30:00,-0.01,-0.04
109,109,2025-10-26 06:30:00,-0.02,-0.03
110,110,2025-10-26 07:30:00,-0.02,-0.01
111,111,2025-10-26 08:30:00,-0.01,0.0
112,112,2025-10-26 09:30:00,-0.01,0.01
113,113,2025-10-26 10:30:00,0.0,0.02
114,114,2025-10-26 11:30:00,0.01,0.01
115,115,2025-10-26 12:30:00,0.02,-0.0
116,116,2025-10-26 13:30:00,0.03,-0.02
117,117,2025-10-26 14:30:00,0.04,-0.04
118,118,2025-10-26 15:30:00,0.04,-0.06
119,119,2025-10-26 16:30:00,0.04,-0.07
120,120,2025-10-26 17:30:00,0.04,-0.09
121,121,2025-10-26 18:30:00,0.04,-0.1
122,122,2025-10-26 19:30:00,0.04,-0.11
123,123,2025-10-26 20:30:00,0.03,-0.11
124,124,2025-10-26 21:30:00,0.03,-0.11
125,125,2025-10-26 22:30:00,0.02,-0.11
126,126,2025-10-26 23:30:00,0.01,-0.11
127,127,2025-10-27 00:30:00,0.0,-0.11
128,128,2025-10-27 01:30:00,-0.0,-0.1
129,129,2025-10-27 02:30:00,-0.01,-0.09
130,130,2025-10-27 03:30:00,-0.01,-0.08
131,131,2025-10-27 04:30:00,-0.0,-0.07
132,132,2025-10-27 05:30:00,-0.0,-0.07
133,133,2025-10-27 06:30:00,-0.0,-0.06
134,134,2025-10-27 07:30:00,-0.0,-0.06
135,135,2025-10-27 08:30:00,-0.0,-0.05
136,136,2025-10-27 09:30:00,0.0,-0.05
137,137,2025-10-27 10:30:00,0.0,-0.05
138,138,2025-10-27 11:30:00,0.01,-0.05
139,139,2025-10-27 12:30:00,0.01,-0.05
140,140,2025-10-27 13:30:00,0.02,-0.06
141,141,2025-10-27 14:30:00,0.02,-0.07
142,142,2025-10-27 15:30:00,0.03,-0.08
143,143,2025-10-27 16:30:00,0.03,-0.09
144,144,2025-10-27 17:30:00,0.03,-0.11
145,145,2025-10-27 18:30:00,0.03,-0.12
146,146,2025-10-27 19:30:00,0.03,-0.14
147,147,2025-10-27 20:30:00,0.03,-0.15
148,148,2025-10-27 21:30:00,0.03,-0.16
149,149,2025-10-27 22:30:00,0.03,-0.17
150,150,2025-10-27 23:30:00,0.03,-0.17
151,151,2025-10-28 00:30:00,0.02,-0.17
152,152,2025-10-28 01:30:00,0.01,-0.17
153,153,2025-10-28 02:30:00,0.01,-0.17
154,154,2025-10-28 03:30:00,0.0,-0.17
155,155,2025-10-28 04:30:00,-0.0,-0.16
156,156,2025-10-28 05:30:00,-0.0,-0.15
157,157,2025-10-28 06:30:00,-0.0,-0.15
158,158,2025-10-28 07:30:00,-0.01,-0.14
159,159,2025-10-28 08:30:00,-0.01,-0.14
160,160,2025-10-28 09:30:00,-0.01,-0.13
161,161,2025-10-28 10:30:00,-0.01,-0.12
162,162,2025-10-28 11:30:00,-0.01,-0.11
163,163,2025-10-28 12:30:00,-0.0,-0.11
164,164,2025-10-28 13:30:00,0.0,-0.11
165,165,2025-10-28 14:30:00,0.01,-0.12
166,166,2025-10-28 15:30:00,0.02,-0.13
167,167,2025-10-28 16:30:00,0.03,-0.14
168,168,2025-10-28 17:30:00,0.03,-0.16
169,169,2025-10-28 18:30:00,0.03,-0.18
170,170,2025-10-28 19:30:00,0.03,-0.19
171,171,2025-10-28 20:30:00,0.03,-0.2
172,172,2025-10-28 21:30:00,0.03,-0.2
173,173,2025-10-28 22:30:00,0.02,-0.2
174,174,2025-10-28 23:30:00,0.02,-0.2
175,175,2025-10-29 00:30:00,0.01,-0.19
176,176,2025-10-29 01:30:00,-0.0,-0.18
177,177,2025-10-29 02:30:00,-0.01,-0.17
178,178,2025-10-29 03:30:00,-0.01,-0.15
179,179,2025-10-29 04:30:00,-0.02,-0.13
180,180,2025-10-29 05:30:00,-0.02,-0.11
181,181,2025-10-29 06:30:00,-0.02,-0.1
182,182,2025-10-29 07:30:00,-0.02,-0.08
183,183,2025-10-29 08:30:00,-0.02,-0.06
184,184,2025-10-29 09:30:00,-0.01,-0.05
185,185,2025-10-29 10:30:00,-0.01,-0.03
186,186,2025-10-29 11:30:00,-0.0,-0.03
187,187,2025-10-29 12:30:00,0.0,-0.02
188,188,2025-10-29 13:30:00,0.01,-0.02
189,189,2025-10-29 14:30:00,0.02,-0.03
190,190,2025-10-29 15:30:00,0.02,-0.04
191,191,2025-10-29 16:30:00,0.03,-0.05
192,192,2025-10-29 17:30:00,0.03,-0.07
193,193,2025-10-29 18:30:00,0.04,-0.08
194,194,2025-10-29 19:30:00,0.04,-0.1
195,195,2025-10-29 20:30:00,0.04,-0.12
196,196,2025-10-29 21:30:00,0.04,-0.13
197,197,2025-10-29 22:30:00,0.03,-0.14
198,198,2025-10-29 23:30:00,0.03,-0.15
