Date,Area,130,140,150,160,170,180,190,200,210,220,230,240,250,260,270,280,290,300,310,320
2024/4/27,sample1,1,,0.5,0.3,0.3,0.5,0.3,0.3,0.2,,,0.3,,,,,,,,
2024/5/1,sample1,,,1,0.8,1.3,2.3,1.3,0.7,0.8,0.3,0.2,,0.3,,,,,,,
2024/5/5,sample1,,0.2,0.2,0.3,0.5,1.7,1.3,3,1.5,1,0.7,0.2,0.8,,,0.2,,,,
2024/5/7,sample1,0.2,,0.7,0.3,0.2,,0.2,0.3,0.2,0.2,0.3,0.2,,,,,,,,
2024/5/10,sample1,0.7,0.7,0.7,0.7,0.5,0.8,0.5,0.3,,1,1.2,0.3,0.5,0.3,,,0.2,,,
2024/5/14,sample1,0.7,0.3,0.5,0.7,,0.5,0.5,0.7,0.7,0.7,0.2,0.5,0.2,,,0.5,,,,
2024/5/21,sample1,,,,,,0.2,,,,,,0.5,0.3,1,0.3,0.2,0.3,,,
2025/4/17,sample1,,,,,,,,,,,,,,,,,,,,
2025/4/24,sample1,,,,,,,,,,,,,,,,,,,,
2025/4/30,sample1,,0.5,1.5,,,0.5,,,,,,,,,,,,,,
2025/5/8,sample1,1.8,1.5,1.8,1.7,1.3,2,1.2,1.3,1.2,0.8,0.3,0.5,0.7,0.7,,,,,,
2025/5/10,sample1,3.7,1,2.5,2.2,1.2,1.8,1.8,3.7,1.8,1,1.5,1,2,0.7,0.3,0.3,,,,
2025/5/15,sample1,0.2,0.5,0.3,,0.2,0.3,0.2,0.7,,0.2,0.2,0.2,0.2,,0.2,0.2,,,,
2025/5/21,sample1,,0.2,0.2,,0.2,0.5,0.2,0.3,0.2,0.2,0.3,0.3,,0.2,0.2,0.2,,0.3,,
2024/4/3,sample2,,,,,,,,,,,,,,,,,,,,
2024/4/10,sample2,6,3,1,,,,,,,,,,,,,,,,,
2024/4/17,sample2,5,2,1.5,3.5,5.5,2.5,,,,,,,,,,,,,,
2024/4/20,sample2,2.7,3.2,5,4.5,5.2,4.7,2.5,1.7,1,,,,,,,,,,,
2024/4/23,sample2,1,1,1.7,1.8,2,1.3,1.2,1.3,0.5,0.3,0.3,,,,,,,,,
2024/4/26,sample2,2,3.4,2.5,3.4,3.5,3.2,4.9,5.9,3.9,3.9,2,1.7,1.2,1,,,,,,
2024/5/1,sample2,1.5,2.2,3.7,4,2.2,2.2,0.7,0.8,1,0.8,0.5,0.8,1.2,0.7,1,1.2,0.2,,,
2024/5/7,sample2,,0.2,1,1.3,1.7,1.2,0.8,2,0.8,1,0.2,,,,,0.2,0.2,0.3,,
2024/5/10,sample2,,,1.3,3.4,3.4,3.5,2.2,2.2,1.3,2.2,1.5,1.2,0.8,0.5,1.3,1.2,0.8,3,,
2024/5/15,sample2,,0.3,2,3.5,4.4,2.9,1.8,1.8,2,1.8,2.3,1.5,1,0.7,1.3,0.8,1.5,1.8,,
2024/5/22,sample2,,,,0.5,1.5,1.5,2,3,3,3,1.5,3,3,1.5,2,1.5,2,4,,
2025/4/17,sample2,1.5,6,0.5,,,,,,,,,,,,,,,,,
2025/4/22,sample2,0.3,1.5,2.5,2.7,1.8,0.5,,,,,,,,,,,,,,
2025/4/25,sample2,0.7,1.2,1.5,1.3,0.8,0.5,0.7,0.5,,,,,,,,,,,,
2025/4/29,sample2,0.2,2.5,4,4.5,2,0.8,0.7,1.3,0.3,0.2,,,,,,,,,,
2025/5/2,sample2,0.3,0.5,0.8,1.7,2.7,2.9,3,4.5,1.5,2.9,2.7,1.2,,,,,,,,
2025/5/6,sample2,0.4,1.2,1.1,0.6,1.1,1,1.6,1.1,0.9,0.6,0.9,0.8,0.9,0.7,0.3,,,,,
2025/5/13,sample2,,,0.3,0.5,0.5,0.8,1.3,1.3,0.7,0.7,0.5,0.8,0.7,1.3,0.7,1,0.7,0.2,,
2025/5/22,sample2,,,1.5,4.5,3,2.5,1,,,,,0.5,,,0.5,,,0.5,,
2025/5/28,sample2,,,,0.5,0.5,1,1.3,1,1,0.5,0.3,1,1.3,1.8,1.7,1,0.7,0.2,,
2025/6/4,sample2,,,,,,0.7,0.3,,0.7,0.7,0.3,0.3,1,1.3,0.7,0.3,0.3,,,
2025/6/12,sample2,,,,,,,0.3,,0.3,,,,,0.3,0.7,0.3,,,,
2023/4/11,sample3,,0.3,0.5,,,,0.5,,0.2,0.5,,,,,,,,,,
2023/4/14,sample3,0.2,0.3,,0.2,0.3,,0.5,,0.2,0.2,,,,,,,,,,
2023/4/18,sample3,,1.7,0.8,0.3,0.7,0.2,0.3,0.2,,0.2,,,,,,,,,,
2023/4/20,sample3,,0.3,0.7,1,0.2,0.5,0.5,0.2,0.8,0.7,0.2,0.2,0.2,,,0.2,0.3,,,
2023/4/25,sample3,,1.7,3.4,1.3,0.8,1.2,0.5,0.2,0.3,0.2,,0.2,0.5,0.5,,,0.2,0.2,,
2023/4/28,sample3,,,0.2,1.7,1.7,0.8,0.7,0.3,0.7,,0.5,0.2,,,0.2,,,0.3,0.3,
2023/5/1,sample3,,,,0.2,0.2,,0.7,0.7,,0.5,0.7,,,,,,,0.3,0.2,
2023/5/6,sample3,,,0.3,0.2,,,,0.3,,0.2,0.2,,,,,,,,0.2,0.2
2023/5/8,sample3,,0.5,2,1.5,1.3,0.8,0.7,0.8,1.5,1.5,3.5,3,2.5,1.2,1.2,2.7,2,1.2,2.2,0.5
2023/5/10,sample3,,0.2,0.2,0.3,,0.2,0.2,,0.5,,,,0.2,0.5,0.2,0.3,0.2,0.2,0.2,
2023/5/16,sample3,,0.3,0.7,1.5,1.7,1.3,0.7,0.2,,,0.3,,0.2,0.3,0.5,0.3,0.2,0.3,,
2023/5/24,sample3,,0.2,,5.7,3.4,1.3,0.8,1.3,0.7,0.2,,0.2,,,0.2,0.2,,,,
2024/4/15,sample3,,1,2.3,3.5,1,1,0.5,0.8,0.5,0.5,,,,,,,,,,
2024/4/18,sample3,,,,,0.2,0.2,0.2,,,,,,,,,,,,,
2024/4/22,sample3,,,,,0.2,0.3,0.8,0.7,0.3,0.2,,0.2,,,,,,,,
2024/4/24,sample3,,0.2,0.2,0.2,0.2,0.3,0.8,0.7,1,0.2,0.2,0.2,,0.2,,,,,,
2024/4/26,sample3,,,,,,,0.2,0.2,0.2,0.8,0.2,0.2,0.3,,,,,,,
2024/4/30,sample3,,,0.3,0.3,0.2,,0.7,0.2,0.5,0.3,,0.2,,0.2,,,,,,
2024/5/2,sample3,,,1,0.5,,0.5,2,0.5,,0.5,0.5,,0.5,,,,,,,
2024/5/7,sample3,0.5,6.5,2.5,,1,0.5,1.5,0.5,0.5,1.5,0.5,,1.5,3.5,1.5,0.5,,,,
2024/5/10,sample3,,1,12.6,25.7,24.2,8.1,1.5,1,1,0.5,1,2.5,0.5,2,2,3.5,1,,,
2024/5/14,sample3,,,6,13.6,20.1,29.7,23.7,4.5,2.5,1.5,,0.5,,1,1.5,,1,,,
2024/5/22,sample3,1.5,3.5,14.1,23.7,25.7,30.7,27.2,17.6,18.1,14.1,15.1,15.1,11.1,5.5,3.5,0.5,0.5,1,,
2024/5/29,sample3,,,1,1.5,2,1,1,0.5,0.5,2.5,2.5,1.5,2,5,6,6,5,1.5,,
2024/6/5,sample3,,,0.5,2.5,2.5,3.5,5,6.5,4,4,1.5,1.5,,1,1.5,1.5,1,0.5,,
2025/4/11,sample3,,,,0.2,0.2,0.2,,,,0.2,0.2,0.8,0.2,0.3,,0.2,,,,
2025/4/15,sample3,,,1,2,3.5,3.2,4.4,4.4,3.7,1.8,1.8,0.3,0.7,0.8,0.5,1.3,0.5,0.2,,
2025/4/21,sample3,,0.5,0.8,,0.3,0.2,0.5,0.2,,0.2,0.2,0.3,,,,0.3,,,,
2025/4/24,sample3,,0.5,0.7,0.3,0.3,0.7,0.8,0.7,0.5,0.7,0.5,0.8,0.7,0.3,,0.2,,,,
2025/4/28,sample3,,,0.3,0.2,0.3,0.8,0.2,0.2,0.5,0.8,0.5,1.3,0.7,0.8,0.8,0.8,1.2,1,,
2025/5/1,sample3,,,,0.2,,0.2,0.2,0.3,,,0.8,1,0.5,0.5,1.3,0.7,0.8,0.5,,0.3
2025/5/7,sample3,,,0.3,0.3,0.3,0.5,0.2,0.8,0.5,0.5,0.7,0.8,0.2,1.5,1,1,0.7,0.5,0.3,0.3
2025/5/12,sample3,,,,0.2,,0.3,0.7,0.7,1,0.3,,0.3,0.2,0.2,0.3,1.2,0.5,1.2,0.5,0.3
2025/5/19,sample3,,,,,,0.2,0.2,0.2,0.3,0.7,1,0.3,0.2,0.7,0.3,0.5,0.5,0.3,0.5,0.3
2025/5/26,sample3,,,,,,0.2,,,,0.2,0.3,0.5,0.5,1.3,1,1.7,0.5,2.2,0.5,0.2
2025/6/3,sample3,,,0.2,0.2,,0.2,,0.3,,0.3,0.2,,0.2,0.2,0.2,,,,0.2,
2025/6/9,sample3,,,,,,0.2,,0.2,,0.2,0.2,0.2,0.3,0.2,1,,,0.5,,
2025/6/17,sample3,,,,,,,,,,,,,0.5,,0.2,0.2,,,,
2025/6/26,sample3,,,,,,0.2,,,,0.3,,,0.3,0.2,0.2,0.2,,,,
